"","faa","name","tz","dst","tzone"
"446","EQY","Monroe Reqional Airport",-5,"A","America/New_York"
"447","ERI","Erie Intl Tom Ridge Fld",-5,"A","America/New_York"
"448","ERV","Kerrville Municipal Airport",-6,"A","America/Chicago"
"449","ERY","Luce County Airport",-5,"A","America/New_York"
"450","ESC","Delta County Airport",-5,"A","America/New_York"
"451","ESD","Orcas Island Airport",-8,"A","America/Los_Angeles"
"452","ESF","Esler Rgnl",-6,"A","America/Chicago"
"453","ESN","Easton-Newnam Field Airport",-5,"A","America/New_York"
"454","EUF","Weedon Field",-6,"A","America/Chicago"
"455","EUG","Mahlon Sweet Fld",-8,"A","America/Los_Angeles"
"456","EVV","Evansville Regional",-6,"A","America/Chicago"
"457","EVW","Evanston-Uinta CO Burns Fld",-7,"A","America/Denver"
"458","EWB","New Bedford Regional Airport",-5,"A","America/New_York"
"459","EWK","Newton City-County Airport",-6,"A","America/Chicago"
"460","EWN","Craven Co Rgnl",-5,"A","America/New_York"
"461","EWR","Newark Liberty Intl",-5,"A","America/New_York"
"462","EXI","Excursion Inlet Seaplane Base",-9,"A","America/Anchorage"
"463","EYW","Key West Intl",-5,"A","America/New_York"
"464","F57","Seaplane Base",-5,"A","America/New_York"
"465","FAF","Felker Aaf",-5,"A","America/New_York"
"466","FAI","Fairbanks Intl",-9,"A","America/Anchorage"
"467","FAR","Hector International Airport",-6,"A","America/Chicago"
"468","FAT","Fresno Yosemite Intl",-8,"A","America/Los_Angeles"
"469","FAY","Fayetteville Regional Grannis Field",-5,"A","America/New_York"
"470","FBG","Fredericksburg Amtrak Station",-5,"A","America/New_York"
"471","FBK","Ladd Aaf",-9,"A","America/Anchorage"
"472","FBR","Fort Bridger",-7,"A","America/Denver"
"473","FBS","Friday Harbor Seaplane Base",-8,"A","America/Los_Angeles"
"474","FCA","Glacier Park Intl",-7,"A","America/Denver"
"475","FCM","Flying Cloud Airport",-6,"A","America/Chicago"
"476","FCS","Butts Aaf",-7,"A","America/Denver"
"477","FDW","Fairfield County Airport",-5,"A","America/New_York"
"478","FDY","Findlay Airport",-5,"U","America/New_York"
"479","FFA","First Flight Airport",-5,"A","America/New_York"
"480","FFC","Atlanta Regional Airport - Falcon Field",-5,"A","America/New_York"
"481","FFO","Wright Patterson Afb",-5,"A","America/New_York"
"482","FFT","Capital City Airport",-5,"A","America/New_York"
"483","FFZ","Mesa Falcon Field",-7,"A","America/Phoenix"
"484","FHU","Sierra Vista Muni Libby Aaf",-7,"A","America/Phoenix"
"485","FIT","Fitchburg Municipal Airport",-5,"A","America/New_York"
"486","FKL","Franklin",-5,"A","America/New_York"
"487","FLD","Fond Du Lac County Airport",-6,"A","America/Chicago"
"488","FLG","Flagstaff Pulliam Airport",-7,"N","America/Phoenix"
"489","FLL","Fort Lauderdale Hollywood Intl",-5,"A","America/New_York"
"490","FLO","Florence Rgnl",-5,"A","America/New_York"
"491","FLV","Sherman Aaf",-6,"A","America/Chicago"
"492","FME","Tipton",-5,"A","America/New_York"
"493","FMH","Otis Angb",-5,"A","America/New_York"
"494","FMN","Four Corners Rgnl",-7,"A","America/Denver"
"495","FMY","Page Fld",-5,"A","America/New_York"
"496","FNL","Fort Collins Loveland Muni",-7,"A","America/Denver"
"497","FNR","Funter Bay Seaplane Base",-9,"A","America/Anchorage"
"498","FNT","Bishop International",-5,"A","America/New_York"
"499","FOD","Fort Dodge Rgnl",-6,"A","America/Chicago"
"500","FOE","Forbes Fld",-6,"A","America/Chicago"
"501","FOK","Francis S Gabreski",-5,"A","America/New_York"
"502","FRD","Friday Harbor Airport",-8,"A","America/Los_Angeles"
"503","FRI","Marshall Aaf",-6,"A","America/Chicago"
"504","FRN","Bryant Ahp",-9,"A","America/Anchorage"
"505","FRP","St Lucie County International Airport",-5,"A","America/New_York"
"506","FSD","Sioux Falls",-6,"A","America/Chicago"
"507","FSI","Henry Post Aaf",-6,"A","America/Chicago"
"508","FSM","Fort Smith Rgnl",-6,"A","America/Chicago"
"509","FST","Fort Stockton Pecos Co",-6,"A","America/Chicago"
"510","FTK","Godman Aaf",-5,"A","America/New_York"
"511","FTW","Fort Worth Meacham Intl",-6,"A","America/Chicago"
"512","FTY","Fulton County Airport Brown Field",-5,"A","America/New_York"
"513","FUL","Fullerton Municipal Airport",-8,"A","America/Los_Angeles"
"514","FWA","Fort Wayne",-5,"A","America/New_York"
"515","FXE","Fort Lauderdale Executive",-5,"A","America/New_York"
"516","FYU","Fort Yukon",-9,"A","America/Anchorage"
"517","FYV","Drake Fld",-6,"A","America/Chicago"
"518","FZG","Fitzgerald Municipal Airport",-5,"A","America/New_York"
"519","FZI","Fostoria Metropolitan Airport",-5,"A","America/New_York"
"520","GAD","Northeast Alabama Regional Airport",-6,"A","America/Chicago"
"521","GAI","Montgomery County Airpark",-5,"A","America/New_York"
"522","GAL","Edward G Pitka Sr",-9,"A","America/Anchorage"
"523","GAM","Gambell Airport",-9,"A","America/Anchorage"
"524","GBN","Great Bend Municipal",-6,"A","America/Chicago"
"525","GCC","Gillette-Campbell County Airport",-7,"A","America/Denver"
"526","GCK","Garden City Rgnl",-6,"A","America/Chicago"
"527","GCN","Grand Canyon National Park Airport",-7,"N","America/Phoenix"
"528","GCW","Grand Canyon West Airport",-7,"U","America/Phoenix"
"529","GDV","Dawson Community Airport",-7,"A","America/Denver"
"530","GDW","Gladwin Zettel Memorial Airport",-5,"A","America/New_York"
"531","GED","Sussex Co",-5,"A","America/New_York"
"532","GEG","Spokane Intl",-8,"A","America/Los_Angeles"
"533","GEU","Glendale Municipal Airport",-7,"N","America/Phoenix"
"534","GFK","Grand Forks Intl",-6,"A","America/Chicago"
"535","GFL","Floyd Bennett Memorial Airport",-5,"A","America/New_York"
"536","GGE","Georgetown County Airport",-5,"A","America/New_York"
"537","GGG","East Texas Rgnl",-6,"A","America/Chicago"
"538","GGW","Wokal Field Glasgow International Airport",-7,"A","America/Denver"
"539","GHG","Marshfield Municipal Airport",-5,"A","America/New_York"
"540","GIF","Gilbert Airport",-5,"A","America/New_York"
"541","GJT","Grand Junction Regional",-7,"A","America/Denver"
"542","GKN","Gulkana",-9,"A","America/Anchorage"
"543","GKY","Arlington Municipal",-6,"A","America/Chicago"
"544","GLD","Renner Fld",-7,"A","America/Denver"
"545","GLH","Mid Delta Regional Airport",-6,"A","America/Chicago"
"546","GLS","Scholes Intl At Galveston",-6,"A","America/Chicago"
"547","GLV","Golovin Airport",-9,"A","America/Anchorage"
"548","GNT","Grants Milan Muni",-7,"A","America/Denver"
"549","GNU","Goodnews Airport",-9,"A","America/Anchorage"
"550","GNV","Gainesville Rgnl",-5,"A","America/New_York"
"551","GON","Groton New London",-5,"A","America/New_York"
"552","GPT","Gulfport-Biloxi",-6,"A","America/Chicago"
"553","GPZ","Grand Rapids Itasca County",-6,"A","America/Chicago"
"554","GQQ","Galion Municipal Airport",-5,"A","America/New_York"
"555","GRB","Austin Straubel Intl",-6,"A","America/Chicago"
"556","GRF","Gray Aaf",-8,"A","America/Los_Angeles"
"557","GRI","Central Nebraska Regional Airport",-6,"A","America/Chicago"
"558","GRK","Robert Gray Aaf",-6,"A","America/Chicago"
"559","GRM","Grand Marais Cook County Airport",-6,"U","America/Chicago"
"560","GRR","Gerald R Ford Intl",-5,"A","America/New_York"
"561","GSB","Seymour Johnson Afb",-5,"A","America/New_York"
"562","GSO","Piedmont Triad",-5,"A","America/New_York"
"563","GSP","Greenville-Spartanburg International",-5,"A","America/New_York"
"564","GST","Gustavus Airport",-9,"A","America/Anchorage"
"565","GTB","Wheeler Sack Aaf",-5,"A","America/New_York"
"566","GTF","Great Falls Intl",-7,"A","America/Denver"
"567","GTR","Golden Triangle Regional Airport",-6,"A","America/Chicago"
"568","GTU","Georgetown Municipal Airport",-6,"A","America/Chicago"
"569","GUC","Gunnison - Crested Butte",-7,"A","America/Denver"
"570","GUP","Gallup Muni",-7,"A","America/Denver"
"571","GUS","Grissom Arb",-5,"A","America/New_York"
"572","GVL","Lee Gilmer Memorial Airport",-5,"A","America/New_York"
"573","GVQ","Genesee County Airport",-5,"A","America/New_York"
"574","GVT","Majors",-6,"A","America/Chicago"
"575","GWO","Greenwood Leflore",-6,"A","America/Chicago"
"576","GYY","Gary Chicago International Airport",-6,"A","America/Chicago"
"577","HBG","Hattiesburg Bobby L. Chain Municipal Airport",-6,"A","America/Chicago"
"578","HBR","Hobart Muni",-6,"A","America/Chicago"
"579","HCC","Columbia County",-5,"A","America/New_York"
"580","HCR","Holy Cross Airport",-9,"A","America/Anchorage"
"581","HDH","Dillingham",-10,"A","Pacific/Honolulu"
"582","HDI","Hardwick Field Airport",-5,"A","America/New_York"
"583","HDN","Yampa Valley",-7,"A","America/Denver"
"584","HDO","Hondo Municipal Airport",-6,"A","America/Chicago"
"585","HFD","Hartford Brainard",-5,"A","America/New_York"
"586","HGR","Hagerstown Regional Richard A Henson Field",-5,"A","America/New_York"
"587","HHH","Hilton Head",-5,"U","America/New_York"
"588","HHI","Wheeler Aaf",-10,"A","Pacific/Honolulu"
"589","HHR","Jack Northrop Fld Hawthorne Muni",-8,"A","America/Los_Angeles"
"590","HIB","Chisholm Hibbing",-6,"A","America/Chicago"
"591","HIF","Hill Afb",-7,"A","America/Denver"
"592","HII","Lake Havasu City Airport",-7,"N","America/Phoenix"
"593","HIO","Portland Hillsboro",-8,"A","America/Los_Angeles"
"594","HKB","Healy River Airport",-9,"A","America/Anchorage"
"595","HKY","Hickory Rgnl",-5,"A","America/New_York"
"596","HLG","Wheeling Ohio County Airport",-5,"A","America/New_York"
"597","HLN","Helena Rgnl",-7,"A","America/Denver"
"598","HLR","Hood Aaf",-6,"A","America/Chicago"
"599","HMN","Holloman Afb",-7,"A","America/Denver"
"600","HNH","Hoonah Airport",-9,"A","America/Anchorage"
"601","HNL","Honolulu Intl",-10,"N","Pacific/Honolulu"
"602","HNM","Hana",-10,"A","Pacific/Honolulu"
"603","HNS","Haines Airport",-9,"A","America/Anchorage"
"604","HOB","Lea Co Rgnl",-7,"A","America/Denver"
"605","HOM","Homer",-9,"A","America/Anchorage"
"606","HON","Huron Rgnl",-6,"A","America/Chicago"
"607","HOP","Campbell Aaf",-6,"A","America/Chicago"
"608","HOT","Memorial Field",-6,"A","America/Chicago"
"609","HOU","William P Hobby",-6,"A","America/Chicago"
"610","HPB","Hooper Bay Airport",-9,"A","America/Anchorage"
"611","HPN","Westchester Co",-5,"A","America/New_York"
"612","HQM","Bowerman Field",-8,"A","America/Los_Angeles"
"613","HQU","McDuffie County Airport",-5,"A","America/New_York"
"614","HRL","Valley Intl",-6,"A","America/Chicago"
"615","HRO","Boone Co",-6,"A","America/Chicago"
"616","HRT","Hurlburt Fld",-6,"A","America/Chicago"
"617","HSH","Henderson Executive Airport",-8,"A","America/Los_Angeles"
"618","HSL","Huslia Airport",-9,"A","America/Anchorage"
"619","HST","Homestead Arb",-5,"A","America/New_York"
"620","HSV","Huntsville International Airport-Carl T Jones Field",-6,"A","America/Chicago"
"621","HTL","Roscommon Co",-5,"A","America/New_York"
"622","HTS","Tri State Milton J Ferguson Field",-5,"A","America/New_York"
"623","HUA","Redstone Aaf",-6,"A","America/Chicago"
"624","HUF","Terre Haute Intl Hulman Fld",-5,"A","America/New_York"
"625","HUL","Houlton Intl",-5,"A","America/New_York"
"626","HUS","Hughes Airport",-9,"A","America/Anchorage"
"627","HUT","Hutchinson Municipal Airport",-6,"A","America/Chicago"
"628","HVN","Tweed-New Haven Airport",-5,"A","America/New_York"
"629","HVR","Havre City Co",-7,"A","America/Denver"
"630","HWD","Hayward Executive Airport",-8,"A","America/Los_Angeles"
"631","HWO","North Perry",-5,"A","America/New_York"
"632","HXD","Hilton Head Airport",-5,"A","America/New_York"
"633","HYA","Barnstable Muni Boardman Polando Fld",-5,"A","America/New_York"
"634","HYG","Hydaburg Seaplane Base",-9,"A","America/Anchorage"
"635","HYL","Hollis Seaplane Base",-9,"A","America/Anchorage"
"636","HYS","Hays Regional Airport",-6,"A","America/Chicago"
"637","HZL","Hazleton Municipal",-5,"A","America/New_York"
"638","IAB","Mc Connell Afb",-6,"A","America/Chicago"
"639","IAD","Washington Dulles Intl",-5,"A","America/New_York"
"640","IAG","Niagara Falls Intl",-5,"A","America/New_York"
"641","IAH","George Bush Intercontinental",-6,"A","America/Chicago"
"642","IAN","Bob Baker Memorial Airport",-9,"A","America/Anchorage"
"643","ICT","Wichita Mid Continent",-6,"A","America/Chicago"
"644","ICY","Icy Bay Airport",-9,"A","America/Anchorage"
"645","IDA","Idaho Falls Rgnl",-7,"A","America/Denver"
"646","IDL","Idlewild Intl",-5,"A","America/New_York"
"647","IFP","Laughlin-Bullhead Intl",-7,"A","America/Phoenix"
"648","IGG","Igiugig Airport",-9,"A","America/Anchorage"
"649","IGM","Kingman Airport",-7,"A","America/Phoenix"
"650","IGQ","Lansing Municipal",-6,"A","America/Chicago"
"651","IJD","Windham Airport",-5,"A","America/New_York"
"652","IKK","Greater Kankakee",-6,"A","America/Chicago"
"653","IKO","Nikolski Air Station",-9,"A","America/Anchorage"
"654","IKR","Kirtland Air Force Base",-7,"A","America/Denver"
"655","IKV","Ankeny Regl Airport",-6,"A","America/Chicago"
"656","ILG","New Castle",-5,"A","America/New_York"
"657","ILI","Iliamna",-9,"A","America/Anchorage"
"658","ILM","Wilmington Intl",-5,"A","America/New_York"
"659","ILN","Wilmington Airborne Airpark",-5,"U","America/New_York"
"660","IMM","Immokalee",-5,"A","America/New_York"
"661","IMT","Ford Airport",-6,"A","America/Chicago"
"662","IND","Indianapolis Intl",-5,"A","America/New_York"
"663","INJ","Hillsboro Muni",-6,"A","America/Chicago"
"664","INK","Winkler Co",-6,"A","America/Chicago"
"665","INL","Falls Intl",-6,"A","America/Chicago"
"666","INS","Creech Afb",-8,"A","America/Los_Angeles"
"667","INT","Smith Reynolds",-5,"A","America/New_York"
"668","INW","Winslow-Lindbergh Regional Airport",-7,"N","America/Phoenix"
"669","IOW","Iowa City Municipal Airport",-6,"A","America/Chicago"
"670","IPL","Imperial Co",-8,"A","America/Los_Angeles"
"671","IPT","Williamsport Rgnl",-5,"A","America/New_York"
"672","IRC","Circle City Airport",-9,"A","America/Anchorage"
"673","IRK","Kirksville Regional Airport",-6,"A","America/Chicago"
"674","ISM","Kissimmee Gateway Airport",-5,"A","America/New_York"
"675","ISN","Sloulin Fld Intl",-6,"A","America/Chicago"
"676","ISO","Kinston Regional Jetport",-5,"A","America/New_York"
"677","ISP","Long Island Mac Arthur",-5,"A","America/New_York"
"678","ISW","Alexander Field South Wood County Airport",-6,"A","America/Chicago"
"679","ITH","Ithaca Tompkins Rgnl",-5,"A","America/New_York"
"680","ITO","Hilo Intl",-10,"N","Pacific/Honolulu"
"681","IWD","Gogebic Iron County Airport",-6,"U","America/Chicago"
"682","IWS","West Houston",-6,"A","America/Chicago"
"683","IYK","Inyokern Airport",-8,"A","America/Los_Angeles"
"684","IZG","Eastern Slopes Regional",-5,"A","America/New_York"
"685","JAC","Jackson Hole Airport",-7,"A","America/Denver"
"686","JAN","Jackson Evers Intl",-6,"A","America/Chicago"
"687","JAX","Jacksonville Intl",-5,"A","America/New_York"
"688","JBR","Jonesboro Muni",-6,"A","America/Chicago"
"689","JCI","New Century AirCenter Airport",-6,"A","America/Chicago"
"690","JEF","Jefferson City Memorial Airport",-6,"A","America/Chicago"
"691","JES","Jesup-Wayne County Airport",-5,"A","America/New_York"
"692","JFK","John F Kennedy Intl",-5,"A","America/New_York"
"693","JGC","Grand Canyon Heliport",-7,"A","America/Phoenix"
"694","JHM","Kapalua",-10,"N","Pacific/Honolulu"
"695","JHW","Chautauqua County-Jamestown",-5,"A","America/New_York"
"696","JKA","Jack Edwards Airport",-6,"A","America/Chicago"
"697","JLN","Joplin Rgnl",-6,"A","America/Chicago"
"698","JMS","Jamestown Regional Airport",-6,"A","America/Chicago"
"699","JNU","Juneau Intl",-9,"A","America/Anchorage"
"700","JOT","Regional Airport",-6,"A","America/Chicago"
"701","JRA","West 30th St. Heliport",-5,"A","America/New_York"
"702","JRB","Wall Street Heliport",-5,"A","America/New_York"
"703","JST","John Murtha Johnstown-Cambria County Airport",-5,"A","America/New_York"
"704","JVL","Southern Wisconsin Regional Airport",-6,"A","America/Chicago"
"705","JXN","Reynolds Field",-5,"A","America/New_York"
"706","JYL","Plantation Airpark",-5,"A","America/New_York"
"707","JYO","Leesburg Executive Airport",-5,"A","America/New_York"
"708","JZP","Pickens County Airport",-5,"A","America/New_York"
"709","K03","Wainwright As",-9,"A","America/Anchorage"
"710","K27","Burrello-Mechanicville Airport",-5,"A","America/New_York"
"711","K83","Sabetha Municipal",-6,"A","America/Chicago"
"712","KAE","Kake Seaplane Base",-9,"A","America/Anchorage"
"713","KAL","Kaltag Airport",-9,"A","America/Anchorage"
"714","KBC","Birch Creek Airport",-9,"A","America/Anchorage"
"715","KBW","Chignik Bay Seaplane Base",-9,"A","America/Anchorage"
"716","KCC","Coffman Cove Seaplane Base",-9,"A","America/Anchorage"
"717","KCL","Chignik Lagoon Airport",-9,"A","America/Anchorage"
"718","KCQ","Chignik Lake Airport",-9,"A","America/Anchorage"
"719","KEH","Kenmore Air Harbor Inc Seaplane Base",-8,"A","America/Los_Angeles"
"720","KEK","Ekwok Airport",-9,"A","America/Anchorage"
"721","KFP","False Pass Airport",-9,"A","America/Anchorage"
"722","KGK","Koliganek Airport",-9,"A","America/Anchorage"
"723","KGX","Grayling Airport",-9,"A","America/Anchorage"
"724","KKA","Koyuk Alfred Adams Airport",-9,"A","America/Anchorage"
"725","KKB","Kitoi Bay Seaplane Base",-9,"A","America/Anchorage"
"726","KKH","Kongiganak Airport",-9,"A","America/Anchorage"
"727","KLG","Kalskag Airport",-9,"A","America/Anchorage"
"728","KLL","Levelock Airport",-9,"A","America/Anchorage"
"729","KLN","Larsen Bay Airport",-9,"A","America/Anchorage"
"730","KLS","Kelso Longview",-8,"A","America/Los_Angeles"
"731","KLW","Klawock Airport",-9,"A","America/Anchorage"
"732","KMO","Manokotak Airport",-9,"A","America/Anchorage"
"733","KMY","Moser Bay Seaplane Base",-9,"A","America/Anchorage"
"734","KNW","New Stuyahok Airport",-9,"A","America/Anchorage"
"735","KOA","Kona Intl At Keahole",-10,"N","Pacific/Honolulu"
"736","KOT","Kotlik Airport",-9,"A","America/Anchorage"
"737","KOY","Olga Bay Seaplane Base",-9,"A","America/Anchorage"
"738","KOZ","Ouzinkie Airport",-9,"A","America/Anchorage"
"739","KPB","Point Baker Seaplane Base",-9,"A","America/Anchorage"
"740","KPC","Port Clarence Coast Guard Station",-9,"A","America/Anchorage"
"741","KPN","Kipnuk Airport",-9,"A","America/Anchorage"
"742","KPR","Port Williams Seaplane Base",-9,"A","America/Anchorage"
"743","KPV","Perryville Airport",-9,"A","America/Anchorage"
"744","KPY","Port Bailey Seaplane Base",-9,"A","America/Anchorage"
"745","KQA","Akutan Seaplane Base",-9,"A","America/Anchorage"
"746","KSM","St Marys Airport",-9,"A","America/Anchorage"
"747","KTB","Thorne Bay Seaplane Base",-9,"A","America/Anchorage"
"748","KTN","Ketchikan Intl",-9,"A","America/Anchorage"
"749","KTS","Brevig Mission Airport",-9,"A","America/Anchorage"
"750","KUK","Kasigluk Airport",-9,"A","America/Anchorage"
"751","KVC","King Cove Airport",-9,"A","America/Anchorage"
"752","KVL","Kivalina Airport",-9,"A","America/Anchorage"
"753","KWK","Kwigillingok Airport",-9,"A","America/Anchorage"
"754","KWN","Quinhagak Airport",-9,"A","America/Anchorage"
"755","KWP","West Point Village Seaplane Base",-9,"A","America/Anchorage"
"756","KWT","Kwethluk Airport",-9,"A","America/Anchorage"
"757","KYK","Karuluk Airport",-9,"A","America/Anchorage"
"758","KYU","Koyukuk Airport",-9,"A","America/Anchorage"
"759","KZB","Zachar Bay Seaplane Base",-9,"A","America/Anchorage"
"760","L06","Furnace Creek",-8,"A","America/Los_Angeles"
"761","L35","Big Bear City",-8,"A","America/Los_Angeles"
"762","L52","Oceano County Airport",-8,"U","America/Los_Angeles"
"763","LAA","Lamar Muni",-7,"A","America/Denver"
"764","LAF","Purude University Airport",-5,"A","America/New_York"
"765","LAL","Lakeland Linder Regional Airport",-5,"A","America/New_York"
"766","LAM","Los Alamos Airport",-7,"A","America/Denver"
"767","LAN","Capital City",-5,"A","America/New_York"
"768","LAR","Laramie Regional Airport",-7,"A","America/Denver"
"769","LAS","Mc Carran Intl",-8,"A","America/Los_Angeles"
"770","LAW","Lawton-Fort Sill Regional Airport",-6,"A","America/Chicago"
"771","LAX","Los Angeles Intl",-8,"A","America/Los_Angeles"
"772","LBB","Lubbock Preston Smith Intl",-6,"A","America/Chicago"
"773","LBE","Arnold Palmer Regional Airport",-5,"A","America/New_York"
"774","LBF","North Platte Regional Airport Lee Bird Field",-6,"A","America/Chicago"
"775","LBL","Liberal Muni",-6,"A","America/Chicago"
"776","LBT","Municipal Airport",-5,"A","America/New_York"
"777","LCH","Lake Charles Rgnl",-6,"A","America/Chicago"
"778","LCK","Rickenbacker Intl",-5,"A","America/New_York"
"779","LCQ","Lake City Municipal Airport",-5,"A","America/New_York"
"780","LDJ","Linden Airport",-5,"A","America/New_York"
"781","LEB","Lebanon Municipal Airport",-5,"A","America/New_York"
"782","LEW","Lewiston Maine",-5,"A","America/New_York"
"783","LEX","Blue Grass",-5,"A","America/New_York"
"784","LFI","Langley Afb",-5,"A","America/New_York"
"785","LFK","Angelina Co",-6,"A","America/Chicago"
"786","LFT","Lafayette Rgnl",-6,"A","America/Chicago"
"787","LGA","La Guardia",-5,"A","America/New_York"
"788","LGB","Long Beach",-8,"A","America/Los_Angeles"
"789","LGC","LaGrange-Callaway Airport",-5,"A","America/New_York"
"790","LGU","Logan-Cache",-7,"A","America/Denver"
"791","LHD","Lake Hood Seaplane Base",-9,"A","America/Anchorage"
"792","LHM","Lincoln Regional Airport Karl Harder Field",-8,"A","America/Los_Angeles"
"793","LHV","William T. Piper Mem.",-5,"A","America/New_York"
"794","LHX","La Junta Muni",-7,"A","America/Denver"
"795","LIH","Lihue",-10,"N","Pacific/Honolulu"
"796","LIT","Adams Fld",-6,"A","America/Chicago"
"797","LIV","Livingood Airport",-9,"A","America/Anchorage"
"798","LKE","Kenmore Air Harbor Seaplane Base",-8,"A","America/Los_Angeles"
"799","LKK","Kulik Lake Airport",-9,"U","America/Anchorage"
"800","LKP","Lake Placid Airport",-5,"A","America/New_York"
"801","LMT","Klamath Falls Airport",-8,"A","America/Los_Angeles"
"802","LNA","Palm Beach Co Park",-5,"A","America/New_York"
"803","LNK","Lincoln",-6,"A","America/Chicago"
"804","LNN","Lost Nation Municipal Airport",-5,"A","America/New_York"
"805","LNR","Tri-County Regional Airport",-6,"A","America/Chicago"
"806","LNS","Lancaster Airport",-5,"A","America/New_York"
"807","LNY","Lanai",-10,"N","Pacific/Honolulu"
"808","LOT","Lewis University Airport",-6,"A","America/Chicago"
"809","LOU","Bowman Fld",-5,"A","America/New_York"
"810","LOZ","London-Corbin Airport-MaGee Field",-5,"A","America/New_York"
"811","LPC","Lompoc Airport",-8,"A","America/Los_Angeles"
"812","LPR","Lorain County Regional Airport",-5,"A","America/New_York"
"813","LPS","Lopez Island Airport",-8,"A","America/Los_Angeles"
"814","LRD","Laredo Intl",-6,"A","America/Chicago"
"815","LRF","Little Rock Afb",-6,"A","America/Chicago"
"816","LRO","Mount Pleasant Regional-Faison Field",-5,"A",NA
"817","LRU","Las Cruces Intl",-7,"A","America/Denver"
"818","LSE","La Crosse Municipal",-6,"A","America/Chicago"
"819","LSF","Lawson Aaf",-5,"A","America/New_York"
"820","LSV","Nellis Afb",-8,"A","America/Los_Angeles"
"821","LTS","Altus Afb",-6,"A","America/Chicago"
"822","LUF","Luke Afb",-7,"A","America/Phoenix"
"823","LUK","Cincinnati Muni Lunken Fld",-5,"A","America/New_York"
"824","LUP","Kalaupapa Airport",-10,"A","Pacific/Honolulu"
"825","LUR","Cape Lisburne Lrrs",-9,"A","America/Anchorage"
"826","LVK","Livermore Municipal",-8,"A","America/Los_Angeles"
"827","LVM","Mission Field Airport",-7,"A","America/Denver"
"828","LVS","Las Vegas Muni",-7,"A","America/Denver"
"829","LWA","South Haven Area Regional Airport",-5,"A","America/New_York"
"830","LWB","Greenbrier Valley Airport",-5,"U","America/New_York"
"831","LWC","Lawrence Municipal",-6,"A","America/Chicago"
"832","LWM","Lawrence Municipal Airport",-5,"A","America/New_York"
"833","LWS","Lewiston Nez Perce Co",-8,"A","America/Los_Angeles"
"834","LWT","Lewistown Municipal Airport",-7,"A","America/Denver"
"835","LXY","Mexia - Limestone County Airport",-6,"A","America/Chicago"
"836","LYH","Lynchburg Regional Preston Glenn Field",-5,"A","America/New_York"
"837","LYU","Ely Municipal",-6,"A","America/Chicago"
"838","LZU","Gwinnett County Airport-Briscoe Field",-5,"A","America/New_York"
"839","M94","Desert Aire",-8,"A","America/Los_Angeles"
"840","MAE","Madera Municipal Airport",-8,"A","America/Los_Angeles"
"841","MAF","Midland Intl",-6,"A","America/Chicago"
"842","MBL","Manistee County-Blacker Airport",-5,"A","America/New_York"
"843","MBS","Mbs Intl",-5,"A","America/New_York"
"844","MCC","Mc Clellan Afld",-8,"A","America/Los_Angeles"
"845","MCD","Mackinac Island Airport",-5,"U","America/New_York"
"846","MCE","Merced Municipal Airport",-8,"A","America/Los_Angeles"
"847","MCF","Macdill Afb",-5,"A","America/New_York"
"848","MCG","McGrath Airport",-9,"A","America/Anchorage"
"849","MCI","Kansas City Intl",-6,"A","America/Chicago"
"850","MCK","McCook Regional Airport",-6,"A","America/Chicago"
"851","MCL","McKinley National Park Airport",-9,"A","America/Anchorage"
"852","MCN","Middle Georgia Rgnl",-5,"A","America/New_York"
"853","MCO","Orlando Intl",-5,"A","America/New_York"
"854","MCW","Mason City Municipal",-6,"A","America/Chicago"
"855","MDT","Harrisburg Intl",-5,"A","America/New_York"
"856","MDW","Chicago Midway Intl",-6,"A","America/Chicago"
"857","ME5","Banks Airport",-5,"A","America/New_York"
"858","MEI","Key Field",-6,"A","America/Chicago"
"859","MEM","Memphis Intl",-6,"A","America/Chicago"
"860","MER","Castle",-8,"A","America/Los_Angeles"
"861","MFD","Mansfield Lahm Regional",-5,"A","America/New_York"
"862","MFE","Mc Allen Miller Intl",-6,"A","America/Chicago"
"863","MFI","Marshfield Municipal Airport",-6,"A","America/Chicago"
"864","MFR","Rogue Valley Intl Medford",-8,"A","America/Los_Angeles"
"865","MGC","Michigan City Municipal Airport",-6,"A","America/Chicago"
"866","MGE","Dobbins Arb",-5,"A","America/New_York"
"867","MGJ","Orange County Airport",-5,"A","America/New_York"
"868","MGM","Montgomery Regional Airport",-6,"A","America/Chicago"
"869","MGR","Moultrie Municipal Airport",-5,"A","America/New_York"
"870","MGW","Morgantown Muni Walter L Bill Hart Fld",-5,"A","America/New_York"
"871","MGY","Dayton-Wright Brothers Airport",-5,"U","America/New_York"
"872","MHK","Manhattan Reigonal",-6,"A","America/Chicago"
"873","MHM","Minchumina Airport",-9,"A","America/Anchorage"
"874","MHR","Sacramento Mather",-8,"A","America/Los_Angeles"
"875","MHT","Manchester Regional Airport",-5,"A","America/New_York"
"876","MHV","Mojave",-8,"A","America/Los_Angeles"
"877","MIA","Miami Intl",-5,"A","America/New_York"
"878","MIB","Minot Afb",-6,"A","America/Chicago"
"879","MIC","Crystal Airport",-6,"A","America/Chicago"
"880","MIE","Delaware County Airport",-5,"U","America/New_York"
"881","MIV","Millville Muni",-5,"A","America/New_York"
"882","MKC","Downtown",-6,"A","America/Chicago"
"883","MKE","General Mitchell Intl",-6,"A","America/Chicago"
"884","MKG","Muskegon County Airport",-5,"A","America/New_York"
